price,postcode,bedrooms,baths,receptions,station,parking,garage,balcony,terrace,garden,porter,security,concierge,new,pre_owned,type_of_building,fireplace,wood_floors,listed,agent
925000.0,sw6,3 beds,2 baths,1 reception,0.4 miles imperial wharf,no,no,no,yes,no,no,no,no,no,yes,flat,yes,no,"listed on,  , 23rd apr 2021","aspire - fulham south, view , agent,  properties"
700000.0,wc1x,1 bed,1 bath,1 reception,0.3 miles chancery lane,no,no,no,yes,yes,yes,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","savills - clerkenwell, view , agent,  properties"
765000.0,sw6,2 beds,1 bath,1 reception,0.1 miles parsons green,no,no,no,no,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","savills - bishops park, view , agent,  properties"
700000.0,w6,2 beds,2 baths,1 reception,0.2 miles hammersmith,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","savills - shepherds bush & brook green, view , agent,  properties"
415000.0,se22,2 beds,1 bath,1 reception,0 miles east dulwich,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","foxtons - dulwich, view , agent,  properties"
435000.0,nw8,1 bed,1 bath,1,0.4 miles maida vale,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","kinleigh folkard & hayward - st john's wood sales, view , agent,  properties"
425000.0,se5,2 beds,1 bath,1 reception,0.1 miles loughborough junction,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","foxtons - brixton, view , agent,  properties"
375000.0,sw16,1 bed,1 bath,1 reception,0.5 miles tulse hill,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","dexters - streatham, view , agent,  properties"
565000.0,n1,2 beds,,1,0.3 miles old street,no,no,no,no,yes,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","express estate agency, view , agent,  properties"
875000.0,nw3,2 beds,2 baths,1 reception,0.4 miles swiss cottage,no,no,no,yes,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","leo newman, view , agent,  properties"
625000.0,sw8,3 beds,1 bath,1 reception,0.6 miles clapham common,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","rochford stokes, view , agent,  properties"
399995.0,se5,2 beds,1 bath,1,0.3 miles denmark hill,no,no,yes,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","urban village, view , agent,  properties"
625000.0,sw11,3 beds,1 bath,1 reception,0.5 miles clapham junction,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","rochford stokes, view , agent,  properties"
595000.0,sw10,2 beds,1 bath,1 reception,0.4 miles west brompton,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","daniel watney llp, view , agent,  properties"
525000.0,wc1x,1 bed,2 baths,1 reception,0.3 miles london kings cross,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","daniel watney llp, view , agent,  properties"
900000.0,sw11,1 bed,1 bath,1 reception,0.3 miles st george wharf pier,no,no,yes,no,yes,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","johns&co - nine elms, view , agent,  properties"
350000.0,w11,,1 bath,1 reception,0.2 miles ladbroke grove,no,no,no,no,yes,no,no,no,no,yes,studio,no,no,"listed on,  , 23rd apr 2021","dexters - westbourne grove, view , agent,  properties"
595000.0,sw9,2 beds,2 baths,1 reception,0.2 miles clapham north,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - clapham, view , agent,  properties"
750000.0,nw10,3 beds,2 baths,1 reception,0.1 miles kensal rise,no,no,no,yes,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","properties actually limited, view , agent,  properties"
595000.0,sw9,2 beds,2 baths,1 reception,0.2 miles clapham north,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","winkworth - clapham, view , agent,  properties"
750000.0,nw10,3 beds,2 baths,1 reception,0.1 miles kensal rise,no,no,no,yes,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","properties actually limited, view , agent,  properties"
589950.0,e14,2 beds,2 baths,1 reception,0.2 miles crossharbour & london arena,yes,no,yes,no,no,no,no,yes,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","ashley king, view , agent,  properties"
725000.0,sw11,3 beds,2 baths,1 reception,0.5 miles chelsea harbour pier,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","john d wood & co. - battersea sales, view , agent,  properties"
400000.0,se22,2 beds,2 baths,1 reception,0.2 miles east dulwich,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","truepenny's, view , agent,  properties"
550000.0,w9,2 beds,1 bath,1 reception,0.3 miles queen's park,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","dexters - maida vale, view , agent,  properties"
575000.0,sw4,1 bed,1 bath,1 reception,0.3 miles brixton,yes,no,no,no,yes,no,no,no,no,yes,,no,no,"listed on,  , 23rd apr 2021","dexters - clapham, view , agent,  properties"
535000.0,se24,2 beds,1 bath,1 reception,0.2 miles herne hill,no,no,no,yes,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","keating estates, view , agent,  properties"
400000.0,w2,,1 bath,1 reception,0.3 miles royal oak,no,no,no,no,no,no,no,no,no,yes,studio,no,no,"listed on,  , 23rd apr 2021","dexters - westbourne grove, view , agent,  properties"
449000.0,w9,2 beds,1 bath,1 reception,0.1 miles maida vale,yes,no,no,no,yes,yes,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","londonwide estates, view , agent,  properties"
695000.0,nw3,1 bed,1 bath,1 reception,0.1 miles finchley road,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","hanover, view , agent,  properties"
600000.0,nw6,1 bed,1 bath,1 reception,0.1 miles brondesbury park,no,no,yes,no,no,no,no,yes,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","cityzen london, view , agent,  properties"
695000.0,nw1,3 beds,1 bath,1 reception,0.4 miles camden road,yes,no,yes,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","camden bus estate agents, view , agent,  properties"
475000.0,sw8,2 beds,1 bath,1 reception,0.2 miles queenstown road (battersea),no,no,yes,yes,no,no,no,no,no,yes,flat,yes,no,"listed on,  , 23rd apr 2021","john dean, view , agent,  properties"
500000.0,w2,2 beds,1 bath,1 reception,0 miles bayswater,no,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","dexters - westbourne grove, view , agent,  properties"
429950.0,se1,2 beds,1 bath,1 reception,0.6 miles bermondsey,no,no,no,no,yes,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","oppida, view , agent,  properties"
400000.0,sw12,2 beds,,1,0.5 miles clapham south,yes,no,no,no,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","andrews - balham, view , agent,  properties"
425000.0,e14,,1 bath,1 reception,0.1 miles south quay,no,no,yes,no,no,no,no,yes,no,yes,studio,no,no,"listed on,  , 23rd apr 2021","life residential - canary wharf, view , agent,  properties"
600000.0,sw6,1 bed,1 bath,1 reception,0.4 miles putney bridge,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","douglas & gordon - fulham, view , agent,  properties"
850000.0,e2,2 beds,2 baths,1 reception,0.3 miles shoreditch high street,no,no,yes,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","savills - shoreditch, view , agent,  properties"
500000.0,se22,2 beds,1 bath,1 reception,0.5 miles east dulwich,no,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","roy brooks, view , agent,  properties"
950000.0,e1.,3 beds,3 baths,1 reception,0.3 miles aldgate east,yes,no,no,no,no,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","knight frank - canary wharf sales, view , agent,  properties"
750000.0,w14,2 beds,2 baths,1 reception,0.2 miles shepherd's bush central,no,no,no,yes,yes,no,no,no,no,yes,flat,yes,yes,"listed on,  , 23rd apr 2021","bective - brook green, view , agent,  properties"
399950.0,sw11,2 beds,1 bath,1 reception,0.3 miles wandsworth town,no,no,yes,no,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","nelsons, view , agent,  properties"
400000.0,n16,1 bed,1 bath,1 reception,0.6 miles rectory road,no,no,no,no,yes,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","location location, view , agent,  properties"
785000.0,w1h,3 beds,2 baths,1 reception,0.2 miles edgware road circle,no,no,no,no,no,yes,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","napier watt, view , agent,  properties"
840000.0,sw6,2 beds,1 bath,1 reception,0.2 miles fulham broadway,no,no,no,yes,yes,no,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","marsh & parsons - fulham, view , agent,  properties"
350000.0,sw4,1 bed,1 bath,1 reception,0.1 miles clapham high street,no,no,no,no,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","nelsons, view , agent,  properties"
500000.0,e14,2 beds,1 bath,1 reception,0.3 miles limehouse,yes,no,no,yes,yes,yes,no,no,no,yes,flat,no,no,"listed on,  , 23rd apr 2021","franklyn james, view , agent,  properties"
425000.0,sw4,2 beds,1 bath,1 reception,0.1 miles clapham high street,no,no,no,no,no,no,no,no,no,yes,flat,no,yes,"listed on,  , 23rd apr 2021","nelsons, view , agent,  properties"
