price,postcode,bedrooms,baths,receptions,station,parking,garage,balcony,terrace,garden,porter,security,concierge,new,pre_owned,type_of_building,fireplace,wood_floors,listed,agent
588000.0,e14,2.0,2.0,1.0,east india (0.3 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,22nd apr 2021,"ecoworld - oxbow - east london, e14"
424000.0,e14,1.0,1.0,1.0,east india (0.3 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,22nd apr 2021,"ecoworld - oxbow - east london, e14"
985000.0,w10,3.0,2.0,1.0,kensal rise (0.3 miles),no,no,no,yes,no,no,yes,no,yes,no,flat,no,no,22nd apr 2021,"hamptons - notting hill sales, w11"
595000.0,w10,1.0,1.0,1.0,kensal rise (0.3 miles),no,no,no,yes,no,no,yes,no,yes,no,flat,no,no,22nd apr 2021,"hamptons - kensal rise & queens park sales, nw10"
800000.0,n4,2.0,2.0,1.0,manor house (0.3 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,no,22nd apr 2021,"jll - north london, n4"
1050000.0,e2,3.0,2.0,1.0,cambridge heath (0.1 miles),no,no,no,yes,no,no,no,yes,yes,no,flat,no,no,22nd apr 2021,"stone real estate, w1w"
695000.0,e2,2.0,2.0,1.0,cambridge heath (0.1 miles),no,no,no,yes,no,no,no,yes,yes,no,flat,no,no,22nd apr 2021,"stone real estate, w1w"
645000.0,sw18,2.0,2.0,1.0,wandsworth town (0.5 miles),no,no,no,yes,no,no,no,no,yes,no,flat,no,no,22nd apr 2021,"aspire - battersea, sw11"
720000.0,sw18,3.0,2.0,1.0,wandsworth town (0.5 miles),no,no,no,yes,no,no,no,no,yes,no,flat,no,no,22nd apr 2021,"aspire - battersea, sw11"
950000.0,w6,1.0,1.0,1.0,hammersmith (d & p) (0.4 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,yes,22nd apr 2021,"sandersons london, w11"
750000.0,w6,1.0,1.0,1.0,hammersmith (0.1 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,yes,21st apr 2021,"london property zone, w6"
1335000.0,se1,2.0,2.0,1.0,waterloo (0.1 miles),no,no,no,no,yes,no,no,no,yes,no,flat,no,no,21st apr 2021,"john d wood & co. - belgravia sales, sw1w"
1970000.0,se1,2.0,2.0,1.0,waterloo (0.1 miles),no,no,no,no,yes,no,no,no,yes,no,flat,no,no,21st apr 2021,"john d wood & co. - belgravia sales, sw1w"
960000.0,se1,1.0,1.0,1.0,waterloo (0.1 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,21st apr 2021,"john d wood & co. - belgravia sales, sw1w"
1650000.0,se1,2.0,2.0,1.0,waterloo (0.1 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,21st apr 2021,"john d wood & co. - belgravia sales, sw1w"
1800000.0,se1,2.0,2.0,1.0,waterloo (0.1 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,21st apr 2021,"john d wood & co. - belgravia sales, sw1w"
695000.0,e2,2.0,2.0,1.0,cambridge heath (0.1 miles),no,no,no,yes,no,no,no,yes,yes,no,flat,no,no,21st apr 2021,"savills - hackney wick fish island rds, e9"
1050000.0,e2,3.0,2.0,1.0,cambridge heath (0.1 miles),no,no,no,yes,no,no,no,yes,yes,no,flat,no,no,21st apr 2021,"savills - hackney wick fish island rds, e9"
550000.0,n4,1.0,1.0,1.0,manor house (0.3 miles),no,no,no,yes,no,no,no,yes,yes,no,flat,no,no,21st apr 2021,"vanquish real estate, se18"
849000.0,nw8,1.0,1.0,1.0,edgware road bakerloo (0.4 miles),no,no,no,yes,no,no,no,no,yes,no,flat,no,yes,21st apr 2021,"mysize myplace, w2"
1250000.0,se1,3.0,2.0,2.0,bermondsey (0.7 miles),no,no,no,yes,yes,no,no,yes,yes,no,apartment,no,no,21st apr 2021,"london square - bermondsey, se1"
1405000.0,se1,3.0,2.0,1.0,bermondsey (0.7 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,no,21st apr 2021,"london square - bermondsey, se1"
585000.0,e1,1.0,1.0,1.0,whitechapel (0.2 miles),no,no,no,yes,yes,no,no,yes,yes,no,flat,no,no,21st apr 2021,"dre residential, e14"
1350000.0,nw3,2.0,2.0,1.0,west hampstead thameslink (0.6 miles),yes,no,yes,yes,yes,no,no,yes,yes,no,flat,no,no,21st apr 2021,"goldschmidt & howland - hampstead, nw3"
485000.0,nw6,1.0,1.0,1.0,kilburn park (0.1 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,21st apr 2021,"oakhill residential - west hampstead, nw6"
500000.0,w2,2.0,2.0,1.0,marble arch (0.2 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,21st apr 2021,"home solutions, ig1"
1540000.0,sw11,3.0,2.0,1.0,clapham junction (0.4 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,no,21st apr 2021,"avanton - coda, sw11"
910000.0,sw8,2.0,2.0,1.0,vauxhall (0.3 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,no,21st apr 2021,"garton jones - nine elms & vauxhall, se1"
1050000.0,w1w,1.0,1.0,1.0,great portland street (0.2 miles),no,no,no,no,no,no,no,yes,yes,no,flat,no,no,21st apr 2021,"knight frank - new homes broker team, w1u"
1150000.0,nw6,2.0,2.0,1.0,brondesbury park (0.2 miles),no,no,yes,yes,yes,no,no,yes,yes,no,flat,no,no,21st apr 2021,"knight frank - queens park sales, nw6"
581000.0,se8,2.0,1.0,1.0,surrey quays (0.7 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,21st apr 2021,"dre residential, e14"
1040000.0,sw11,2.0,2.0,1.0,vauxhall (0.4 miles),no,no,yes,no,yes,no,no,no,yes,no,apartment,no,no,21st apr 2021,"ballymore - embassy gardens, sw11"
1035000.0,sw11,2.0,2.0,1.0,vauxhall (0.4 miles),no,no,yes,no,yes,no,no,no,yes,no,flat,no,no,21st apr 2021,"ballymore - embassy gardens, sw11"
570000.0,sw17,2.0,2.0,1.0,tooting bec (0.3 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"finnerti, w1j"
560000.0,se14,2.0,2.0,1.0,new cross (0.4 miles),no,no,yes,yes,no,no,no,yes,yes,no,flat,no,no,20th apr 2021,"anthology - deptford foundry, se14"
1399000.0,ec2a,2.0,2.0,1.0,shoreditch high street (0.2 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"foxtons - new homes east, e14"
1255000.0,ec2a,1.0,1.0,1.0,shoreditch high street (0.2 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"foxtons - new homes east, e14"
490000.0,se14,1.0,1.0,1.0,new cross (0.4 miles),no,no,yes,no,no,no,no,yes,yes,no,flat,no,no,20th apr 2021,"anthology - deptford foundry, se14"
550000.0,se14,2.0,2.0,1.0,new cross (0.3 miles),no,no,yes,no,no,no,no,yes,yes,no,flat,no,no,20th apr 2021,"anthology - deptford foundry, se14"
560000.0,e1,1.0,1.0,1.0,whitechapel (0.2 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,no,20th apr 2021,"moving city, e1"
2300000.0,sw3,2.0,2.0,1.0,south kensington (0.7 miles),yes,no,no,no,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"knight frank - prime central london new homes, w1u"
1070000.0,sw11,1.0,1.0,1.0,battersea park (0.3 miles),no,no,no,no,yes,no,no,yes,yes,no,flat,no,no,20th apr 2021,"maybria group, w1j"
615000.0,e1,1.0,1.0,1.0,whitechapel (0.2 miles),no,no,no,no,yes,no,no,yes,yes,no,flat,no,no,20th apr 2021,"johns&co - new homes, e14"
2050000.0,nw3,3.0,3.0,1.0,belsize park (0.3 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"goldschmidt & howland - hampstead, nw3"
,sw6,2.0,2.0,1.0,imperial wharf (0.1 miles),no,no,yes,no,no,no,no,yes,yes,no,flat,no,yes,20th apr 2021,"mysize myplace, w2"
540000.0,e8,1.0,1.0,1.0,london fields (0.1 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"savills - hackney wick fish island rds, e9"
840000.0,ec2a,1.0,1.0,1.0,shoreditch high street (0.2 miles),no,no,yes,no,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"bm properties, sw7"
579000.0,e1,1.0,1.0,1.0,whitechapel (0.2 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,no,20th apr 2021,"johns&co - new homes, e14"
950000.0,e1,2.0,2.0,1.0,shoreditch high street (0.1 miles),no,no,yes,yes,yes,yes,no,yes,yes,no,flat,no,yes,20th apr 2021,"limetrees international, sw1w"
1595000.0,sw10,2.0,,1.0,imperial wharf (0.1 miles),no,no,no,no,yes,no,no,yes,yes,no,flat,no,no,20th apr 2021,"foxtons - new homes central south, sw3"
1075000.0,se11,3.0,2.0,1.0,vauxhall (0.3 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,yes,20th apr 2021,"prime london (central and riverside), se1"
945000.0,se11,2.0,2.0,1.0,vauxhall (0.3 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,yes,20th apr 2021,"prime london (central and riverside), se1"
875000.0,n4,2.0,3.0,1.0,crouch hill (0.3 miles),no,no,no,yes,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"jll - north london, n4"
745000.0,se11,1.0,1.0,1.0,vauxhall (0.3 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,yes,20th apr 2021,"prime london (central and riverside), se1"
995000.0,sw10,1.0,1.0,1.0,imperial wharf (0.2 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,20th apr 2021,"dexters new homes - mayfair, w1k"
888000.0,sw11,3.0,2.0,1.0,imperial wharf (0.4 miles),no,no,yes,no,yes,no,no,yes,yes,no,flat,no,no,20th apr 2021,"fraser & co - new homes, w2"
610000.0,e3,2.0,,1.0,pudding mill lane (0.4 miles),no,no,yes,no,no,no,no,no,yes,no,apartment,no,no,20th apr 2021,"taylor wimpey - aspext, e3"
1984000.0,e14,2.0,1.0,1.0,south quay (0.1 miles),no,no,no,no,no,no,no,no,yes,no,flat,no,no,19th apr 2021,"cbt real estate, ec3v"
2495000.0,w1t,2.0,2.0,1.0,goodge street (0.1 miles),yes,no,no,yes,yes,no,no,yes,yes,no,flat,no,no,19th apr 2021,"cbre, wc2e"
785000.0,n4,2.0,2.0,1.0,manor house (0.3 miles),no,no,no,yes,no,no,no,yes,yes,no,flat,no,no,19th apr 2021,"vanquish real estate, se18"
715000.0,n4,2.0,2.0,1.0,manor house (0.3 miles),no,no,yes,no,no,no,no,yes,yes,no,flat,no,no,19th apr 2021,"vanquish real estate, se18"
